datetime,open,high,low,close,tick_volume,gradient,signal_label,signal_with_time
2024-09-12,2511.76,2560.12,2511.04,2558.6,183215,47.25,Bullish,Bullish (2024-09-12 00:00:00)
2024-09-13,2558.6,2586.08,2556.81,2578.38,187977,19.7800000000002,Bullish,Bullish (2024-09-13 00:00:00)
2024-09-16,2579.35,2589.68,2575.29,2582.42,145477,4.039999999999964,Bullish,Bullish (2024-09-16 00:00:00)
2024-09-17,2582.18,2586.95,2560.82,2569.45,161971,-12.970000000000255,Bearish,Bearish (2024-09-17 00:00:00)
2024-09-18,2569.42,2600.16,2546.86,2559.27,197090,-10.179999999999836,Bearish,Bearish (2024-09-18 00:00:00)
2024-09-19,2558.74,2594.89,2551.16,2586.61,210911,27.340000000000146,Bullish,Bullish (2024-09-19 00:00:00)
2024-09-20,2586.52,2625.79,2584.82,2622.26,186244,35.65000000000009,Bullish,Bullish (2024-09-20 00:00:00)
2024-09-23,2618.89,2634.88,2613.92,2628.39,168235,6.129999999999654,Bullish,Bullish (2024-09-23 00:00:00)
2024-09-24,2628.63,2664.39,2622.68,2656.99,201762,28.59999999999991,Bullish,Bullish (2024-09-24 00:00:00)
2024-09-25,2657.25,2670.52,2649.83,2657.02,185292,0.03000000000020009,Bullish,Bullish (2024-09-25 00:00:00)
2024-09-26,2656.99,2685.58,2654.84,2672.23,203215,15.210000000000036,Bullish,Bullish (2024-09-26 00:00:00)
2024-09-27,2672.14,2674.34,2643.18,2659.81,211054,-12.420000000000073,Bearish,Bearish (2024-09-27 00:00:00)
2024-09-30,2658.49,2666.04,2624.74,2634.53,203458,-25.279999999999745,Bearish,Bearish (2024-09-30 00:00:00)
2024-10-01,2634.38,2673.11,2632.13,2663.37,180262,28.83999999999969,Bullish,Bullish (2024-10-01 00:00:00)
2024-10-02,2663.11,2663.46,2641.18,2658.67,170223,-4.699999999999818,Bearish,Bearish (2024-10-02 00:00:00)
2024-10-03,2658.33,2662.94,2638.01,2656.01,187581,-2.6599999999998545,Bearish,Bearish (2024-10-03 00:00:00)
2024-10-04,2655.71,2670.2,2632.05,2653.57,183181,-2.4400000000000546,Bearish,Bearish (2024-10-04 00:00:00)
2024-10-07,2651.45,2659.66,2637.81,2642.51,175171,-11.059999999999945,Bearish,Bearish (2024-10-07 00:00:00)
2024-10-08,2642.63,2653.09,2604.81,2621.85,230809,-20.66000000000031,Bearish,Bearish (2024-10-08 00:00:00)
